CVE,commit_file_location,git_repo_location,work_dir
CVE-2024-34403,/path/to/commit_info/uriparser@@uriparser/CVE-2024-34403_bb6b9b3f25fbafeb12dac68574d9f677b09880e3.diff,/path/to/signature/repo/uriparser@@uriparser,/path/to/work
CVE-2023-0866,/path/to/commit_info/gpac@@gpac/CVE-2023-0866_b964fe4226f1424cf676d5822ef898b6b01f5937.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-46929,/path/to/commit_info/gpac@@gpac/CVE-2023-46929_4248def5d24325aeb0e35cacde3d56c9411816a6.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-52446,/path/to/commit_info/torvalds@@linux/CVE-2023-52446_59e5791f59dd83e8aa72a4e74217eabb6e8cfd90.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-1449,/path/to/commit_info/gpac@@gpac/CVE-2023-1449_8ebbfd61c73d61a2913721a492e5a81fb8d9f9a9.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2024-35296,/path/to/commit_info/apache@@trafficserver/CVE-2024-35296_6052dba804c399aa1b46c454329a1100041b9c8c.diff,/path/to/signature/repo/apache@@trafficserver,/path/to/work
CVE-2024-32609,/path/to/commit_info/HDFGroup@@hdf5/CVE-2024-32609_ce53bc020d37e10a06a59501c45f1ab82539f0c5.diff,/path/to/signature/repo/HDFGroup@@hdf5,/path/to/work
CVE-2023-52435,/path/to/commit_info/torvalds@@linux/CVE-2023-52435_23d05d563b7e7b0314e65c8e882bc27eac2da8e7.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2024-25081,/path/to/commit_info/fontforge@@fontforge/CVE-2024-25081_216eb14b558df344b206bf82e2bdaf03a1f2f429.diff,/path/to/signature/repo/fontforge@@fontforge,/path/to/work
CVE-2023-39114,/path/to/commit_info/miniupnp@@ngiflib/CVE-2023-39114_8e1cc30ffd687c64ecf4c7cf6f3a32de626d5023.diff,/path/to/signature/repo/miniupnp@@ngiflib,/path/to/work
CVE-2023-32258,/path/to/commit_info/torvalds@@linux/CVE-2023-32258_abcc506a9a71976a8b4c9bf3ee6efd13229c1e19.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2024-2174,/path/to/commit_info/v8@@v8/CVE-2024-2174_955d1972ef0a32cf44fc27cd32d055a7ddc30fcf.diff,/path/to/signature/repo/v8@@v8,/path/to/work
CVE-2023-43641,/path/to/commit_info/lipnitsk@@libcue/CVE-2023-43641_fdf72c8bded8d24cfa0608b8e97f2eed210a920e.diff,/path/to/signature/repo/lipnitsk@@libcue,/path/to/work
CVE-2023-22325,/path/to/commit_info/SoftEtherVPN@@SoftEtherVPN/CVE-2023-22325_c49e462ed1e7df813bc14022896bb26fa75546de.diff,/path/to/signature/repo/SoftEtherVPN@@SoftEtherVPN,/path/to/work
CVE-2024-32658,/path/to/commit_info/FreeRDP@@FreeRDP/CVE-2024-32658_1a755d898ddc028cc818d0dd9d49d5acff4c44bf.diff,/path/to/signature/repo/FreeRDP@@FreeRDP,/path/to/work
CVE-2023-34474,/path/to/commit_info/ImageMagick@@ImageMagick/CVE-2023-34474_1061db7f80fdc9ef572ac60b55f408f7bab6e1b0.diff,/path/to/signature/repo/ImageMagick@@ImageMagick,/path/to/work
CVE-2023-37767,/path/to/commit_info/gpac@@gpac/CVE-2023-37767_d414df635c773b21bbb3a9fbf17b101b1e8ea345.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2024-0321,/path/to/commit_info/gpac@@gpac/CVE-2024-0321_d0ced41651b279bb054eb6390751e2d4eb84819a.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2024-6381,/path/to/commit_info/mongodb@@mongo-c-driver/CVE-2024-6381_effd95c34ad421df94eec7c69236f0e4172552d0.diff,/path/to/signature/repo/mongodb@@mongo-c-driver,/path/to/work
CVE-2023-31489,/path/to/commit_info/FRRouting@@frr/CVE-2023-31489_6c8ad437e7e6276e58d5a1d79dd339701ca90abe.diff,/path/to/signature/repo/FRRouting@@frr,/path/to/work
CVE-2024-24855,/path/to/commit_info/torvalds@@linux/CVE-2024-24855_0e881c0a4b6146b7e856735226208f48251facd8.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-39562,/path/to/commit_info/gpac@@gpac/CVE-2023-39562_9024531ee8e6ae8318a8fe0cbb64710d1acc31f6.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-41325,/path/to/commit_info/OP-TEE@@optee_os/CVE-2023-41325_e2ec831cb07ed0099535c7c140cb6338aa62816a.diff,/path/to/signature/repo/OP-TEE@@optee_os,/path/to/work
CVE-2023-29596,/path/to/commit_info/byronknoll@@cmix/CVE-2023-29596_5bd4a2bfe64b154e0b7dde4c9e2abdf3054c9c23.diff,/path/to/signature/repo/byronknoll@@cmix,/path/to/work
CVE-2023-49468,/path/to/commit_info/strukturag@@libde265/CVE-2023-49468_3e822a3ccf88df1380b165d6ce5a00494a27ceeb.diff,/path/to/signature/repo/strukturag@@libde265,/path/to/work
CVE-2023-5371,/path/to/commit_info/wireshark@@wireshark/CVE-2023-5371_0de07f8fe4f8e06da9084485e64a24c8f85a20f4.diff,/path/to/signature/repo/wireshark@@wireshark,/path/to/work
CVE-2023-38314,/path/to/commit_info/openNDS@@openNDS/CVE-2023-38314_99ef4e072caab44df7fa8ab5349752f3fc736a68.diff,/path/to/signature/repo/openNDS@@openNDS,/path/to/work
CVE-2024-32622,/path/to/commit_info/HDFGroup@@hdf5/CVE-2024-32622_f3900f2f616ade00355629adb2f30225351bafc4.diff,/path/to/signature/repo/HDFGroup@@hdf5,/path/to/work
CVE-2023-6992,/path/to/commit_info/cloudflare@@zlib/CVE-2023-6992_8352d108c05db1bdc5ac3bdf834dad641694c13c.diff,/path/to/signature/repo/cloudflare@@zlib,/path/to/work
CVE-2023-31127,/path/to/commit_info/DMTF@@libspdm/CVE-2023-31127_3167bcaba6a4d8662e13741c0f06699def0ff635.diff,/path/to/signature/repo/DMTF@@libspdm,/path/to/work
CVE-2023-26917,/path/to/commit_info/CESNET@@libyang/CVE-2023-26917_cfa1a965a429e4bfc5ae1539a8e87a9cf71c3090.diff,/path/to/signature/repo/CESNET@@libyang,/path/to/work
CVE-2024-25629,/path/to/commit_info/c-ares@@c-ares/CVE-2024-25629_a804c04ddc8245fc8adf0e92368709639125e183.diff,/path/to/signature/repo/c-ares@@c-ares,/path/to/work
CVE-2023-5590,/path/to/commit_info/seleniumhq@@selenium/CVE-2023-5590_023a0d52f106321838ab1c0997e76693f4dcbdf6.diff,/path/to/signature/repo/seleniumhq@@selenium,/path/to/work
CVE-2023-38427,/path/to/commit_info/torvalds@@linux/CVE-2023-38427_f1a411873c85b642f13b01f21b534c2bab81fc1b.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2024-23496,/path/to/commit_info/ggerganov@@llama.cpp/CVE-2024-23496_18c2e17.diff,/path/to/signature/repo/ggerganov@@llama.cpp,/path/to/work
CVE-2024-6779,/path/to/commit_info/v8@@v8/CVE-2024-6779_bc545b15a0ee5dd3bea9f2bfb991b380f5f3659c.diff,/path/to/signature/repo/v8@@v8,/path/to/work
CVE-2023-2598,/path/to/commit_info/torvalds@@linux/CVE-2023-2598_776617db78c6d208780e7c69d4d68d1fa82913de.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2024-0607,/path/to/commit_info/torvalds@@linux/CVE-2024-0607_c301f0981fdd3fd1ffac6836b423c4d7a8e0eb63.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-49208,/path/to/commit_info/babelouest@@glewlwyd/CVE-2023-49208_f9d8c06aae8dfe17e761b18b577ff169e059e812.diff,/path/to/signature/repo/babelouest@@glewlwyd,/path/to/work
